yDay,CHL.mean,CHL.median,CHL.sd,CHL.q5,CHL.q10,CHL.q25,CHL.q75,CHL.q90,CHL.q95,CHL.min,CHL.max
189,0.1995792825,0.19294207,0.03225435757000117,0.171410821,0.17314064199999998,0.178330105,0.2141912475,0.231327693,0.2370398415,0.169681,0.24275199
197,0.19990720666666667,0.201657,0.006373478079991595,0.19372314,0.19460468,0.19724930000000002,0.20344001,0.204509816,0.204866418,0.1928416,0.20522302
205,0.2235522325,0.22154308,0.024716066268907457,0.1989527125,0.202132615,0.2116723225,0.23342299,0.246579172,0.250964566,0.19577281,0.25534996
213,0.217796935,0.21573643,0.057761613379755654,0.159873727,0.164790574,0.179541115,0.25399225000000003,0.2724517,0.27860485,0.15495688,0.284758
221,0.19645926,0.16944116,0.0725280185441902,0.146176161,0.147493602,0.151445925,0.21445449499999997,0.26703939800000004,0.28456769899999995,0.14485872,0.302096
229,0.1719880375,0.161839025,0.027881356733198824,0.15258230949999999,0.153984499,0.1581910675,0.175635995,0.19811078599999998,0.20560238299999997,0.15118012,0.21309398
237,0.17202099999999998,0.171511575,0.023613477903766455,0.15070832999999997,0.15111771,0.15234585,0.191186725,0.19333182999999998,0.19404686499999999,0.15029895,0.1947619
245,0.18551736,0.19020661,0.06455625388843025,0.12040065999999999,0.12482410000000002,0.13809442,0.23762955,0.24245922000000003,0.24406911000000003,0.11597722,0.245679
253,0.262012525,0.262012525,0.07304338803445011,0.21552799749999998,0.22069294500000003,0.2361877875,0.28783726249999997,0.303332105,0.3084970525,0.21036305,0.313662
261,0.20867142,0.155737,0.09401581249050185,0.153324784,0.15359280799999997,0.15439688,0.23647875000000002,0.2849238,0.30107215,0.15305676,0.3172205
269,0.24131414,0.2478898,0.02112858897992955,0.22070063799999998,0.223721656,0.23278471,0.2531314,0.25627636000000004,0.25732468000000003,0.21767962,0.258373
277,0.21856128,0.214205,0.087016401220432,0.14184485600000002,0.149884872,0.17400492,0.2609395,0.28898019999999996,0.2983271,0.13380484,0.307674
285,0.16353347499999998,0.16353347499999998,3.231831543413021e-4,0.1633278025,0.16335065499999998,0.1634192125,0.1636477375,0.163716295,0.1637391475,0.16330495,0.163762
293,0.19996633333333333,0.14924018,0.11655984176429948,0.12055241,0.12373994,0.13330253,0.24126706,0.29648318799999995,0.31488856400000004,0.11736488,0.33329394
301,0.15098790666666667,0.14316851,0.02670330558243742,0.13047734,0.13188746999999998,0.13611785999999998,0.16194825499999999,0.17321610199999998,0.176972051,0.12906721,0.180728
309,0.141651488,0.136177,0.056207884199048715,0.092689684,0.094987368,0.10188042,0.14665213,0.19855438599999997,0.21585513799999997,0.090392,0.23315589
317,0.19251784,0.15364102,0.07472652196127523,0.12887803,0.13158006,0.13968615,0.247643,0.276323018,0.285883024,0.126176,0.29544303
325,0.233918756,0.18649213,0.14812459736258501,0.1341618,0.13901360000000001,0.153569,0.20673455,0.3787866799999999,0.4361373899999999,0.12931,0.4934881
333,0.173903705,0.17020394,0.036798803750619835,0.13912463200000003,0.141304264,0.14784316,0.196264485,0.209462958,0.21386244899999995,0.136945,0.21826194
341,0.185450574,0.159709,0.0801980971518563,0.121646272,0.129063544,0.15131536,0.17946936,0.26530583399999996,0.293917992,0.114229,0.32253015
349,0.161969654,0.15199439,0.02556051294647625,0.141109804,0.142831228,0.1479955,0.166181,0.18904579999999999,0.1966674,0.13938838,0.204289
357,0.206695814,0.165087,0.06846258316369519,0.15227923999999998,0.15273718,0.154111,0.27316213,0.282843436,0.28607053800000004,0.1518213,0.28929764
365,0.373777434,0.2347754,0.2881477013293222,0.15647844,0.15732658,0.159871,0.491379,0.6928904819999999,0.760060976,0.1556303,0.82723147
