time,CHL
2020-04-10,1.2570775
2020-04-18,1.2259543
2020-04-26,1.1004778
2020-05-04,1.0609565
2020-05-12,1.2014714
2020-05-20,1.1233284
2020-06-05,1.5795887
2020-07-07,1.128217
2020-07-15,1.0776582
2020-07-23,1.3218378
2020-07-31,1.0237005
